SnapshotDate,SKU,WarehouseID,OnHandQty
2026-07-14,SKU-0034,WH-06,212
2026-09-01,SKU-0030,WH-02,79
11-Aug-2026,SKU-0029,WH-01,55
2026-07-14,SKU-0007,WH-08,234
2026-06-30,SKU-0030,WH-01,92
2026-08-18,SKU-0030,WH-05,209
2026-07-21,SKU-0023,WH-02,125
2026-07-07,SKU-0024,WH_05,33
2026-08-04,SKU-0021,WH-04,165
2026-07-14,SKU-0018,WH-01,149
2026-08-25,SKU-0008,Wh-01,149
2026-07-28,SKU-0045,WH-01,62
2026-07-07,SKU-0036,WH-06,64
08/18/2026,SKU-0038,WH-02,79
2026-08-18,SKU-0019,WH-08,142
2026-07-14,SKU-0004,WH-07,156
2026-08-25,SKU-0045,WH-03,132
2026-06-30,SKU-0033, WH-01 ,68
2026-07-21,SKU-0024,WH-08,19
2026-07-07,SKU-0031,WH-09,147
2026-06-30,SKU-0023,WH-05,150
,SKU-0008,WH-03,177
2026-08-11,SKU-0044,WH-07,37
2026-07-21,SKU-0036,WH-05,141
2026-07-28,SKU-0019,WH-05,127
2026-07-21,SKU-0040,WH-08,183
2026-07-07,SKU-0018,WH-08,194
2026-07-21,SKU-0008,WH-02,115
25-Aug-2026,SKU-0038,WH-03,132
2026-08-11,SKU-0036,WH-04,135
2026-07-28,SKU-0001,WH-01,213
2026-09-01,SKU-0039,WH-09,86
2026-07-21,SKU-0028,WH_05,-122
2026-08-11,SKU-0004,WH-07,142
2026-08-25,SKU-0004,WH-04,71
09/01/2026,SKU-0044,WH-01,113
2026-09-01,SKU-0023,WH-07,25
2026-09-01,SKU-0030,WH-08,84
2026-07-21,SKU-0037,WH-06,155
2026-06-30,SKU-0012,WH-04,135
2026-08-11,SKU-0011,WH-02,99
2026-09-01,SKU-0030,WH-04,-24
2026-06-30,SKU-0002,WH-03,233
2026-08-11,SKU-0035,WH-03,113
2026-07-07,SKU-0014,WH-08,194
2026-07-28,SKU-0012,WH-06,90
06/30/2026,SKU-0039,WH-06,244
2026-06-30,SKU-0030,WH-02,39
2026-08-11,SKU-0030,WH-02,17
2026-08-25,SKU-0010,WH-02,144
2026-07-21,SKU-0041,WH-08,-3
11-Aug-2026,SKU-0017,WH-08,7
2026-08-04,SKU-0001,WH-03,121
2026-07-28,SKU-0006,WH-07,79
2026-07-28,SKU-0010,Wh-01,125
2026-08-04,SKU-0002,WH-07,126
2026-09-01,SKU-0036,WH-04,130
2026-08-11,SKU-0041,wh-01,153
2026-07-21,SKU-0002,WH-03,202
2026-08-11,SKU-0039,WH-05,119
2026-06-30,SKU-0020,WH-08,-43
2026-06-30,SKU-0003,WH-08,214
2026-08-25,SKU-0022,wh-05,11
2026-07-07,SKU-0044,WH-06,152
2026-08-11,SKU-0015,WH-08,157
2026-08-11,SKU-0035,WH-06,51
2026-07-21,SKU-0013,WH-06,188
2026-07-21,SKU-0020,WH-04,194
2026-08-25,SKU-0033,WH-01,139
2026-07-14,SKU-0022,WH-06,180
2026-07-21,SKU-0038,WH-01,136
2026-08-04,SKU-0010,WH-05,115
2026-06-30,SKU-0026,WH-08,119
2026-09-01,SKU-0013,WH-07,60
2026-08-25,SKU-0006,WH-02,163
2026-08-25,SKU-0008,WH-03,190
08/18/2026,SKU-0021,WH-07,-137
2026-06-30,SKU-0021,WH-08,-20
2026-08-04,SKU-0033,WH-06,193
2026-08-18,SKU-0009,WH-02,87
2026-06-30,SKU-0031,WH-04,156
2026-08-11,SKU-0042,WH-08,61
2026-09-01,SKU-0042,WH-02,181
2026-08-04,SKU-0010,WH-08,128
2026-07-28,SKU-0005,WH-07,124
2026-08-11,SKU-0041,WH-08,152
2026-07-28,SKU-0003,WH-08,154
2026-09-01,SKU-0021,WH-01,45
2026-09-01,SKU-0039,WH-04,141
2026-07-14,SKU-0030,WH-01,192
2026-08-11,SKU-0032,WH-08,77
2026-07-07,SKU-0007,WH-01,196
2026-07-21,SKU-0019,WH-03,75
2026-07-28,SKU-0040,WH-01,103
2026-08-18,SKU-0014,WH-06,252
2026-06-30,SKU-0017,WH-06,152
2026-08-25,SKU-0034,WH-02,87
07/14/2026,SKU-0003,wh-05,187
2026-09-01,SKU-0045,WH-03,63
21-Jul-2026,SKU-0017,WH-01,365
2026-08-25,SKU-0011,WH-05,125
2026-07-28,SKU-0026,Wh-01,94
2026-09-01,SKU-0014,WH-07,60
2026-08-18,SKU-0042,WH-05,32
2026-08-25,SKU-0016,WH-07,145
2026-09-01,SKU-0027,WH-04,80
09/01/2026,SKU-0027,WH-06,212
2026-08-11,SKU-0012,WH-08,133
2026-07-14,SKU-0041,WH-04,123
09/01/2026,SKU-0014,WH-06,205
2026-09-01,SKU-0011,WH-04,148
2026-07-14,SKU-0013,WH-01,143
07/21/2026,SKU-0010,WH-01,84
08/04/2026,SKU-0020,WH-07,140
2026-06-30,SKU-0033,WH-08,141
2026-07-21,SKU-0015,WH-08,-19
2026-08-25,SKU-0006,WH-03,45
2026-07-28,SKU-0027,WH-07,58
2026-08-11,SKU-0015,WH-04,160
2026-07-21,SKU-0027,WH-07,146
2026-08-04,SKU-0035,WH-02,210
2026-09-01,SKU-0035,WH-04,79
2026-09-01,SKU-0024,WH-03,86
2026-07-07,SKU-0032,WH-08,125
2026-07-07,SKU-0005,WH-02,122
2026-09-01,SKU-0013,Wh-01,88
2026-07-07,SKU-0009,WH-08,139
07/21/2026,SKU-0023,WH-05,53
2026-09-01,SKU-0040,WH-07,99
2026-06-30,SKU-0023, WH-01 ,49
2026-07-07,SKU-0044,WH-03,63
2026-08-04,SKU-0040,WH-08,158
2026-07-28,SKU-0045,WH-02,-20
2026-08-04,SKU-0025,WH-03,103
2026-08-18,SKU-0029,WH-05,104
2026-07-21,SKU-0040,WH-04,120
2026-08-04,SKU-0012,WH-06,134
2026-09-01,SKU-0038,WH-01,240
2026-07-21,SKU-0026,WH-03,160
,SKU-0032,WH-02,131
2026-06-30,SKU-0030,WH-08,175
2026-08-25,SKU-0003,WH-04,37
2026-09-01,SKU-0007,WH-06,198
2026-07-07,SKU-0012,WH-03,148
2026-08-11,SKU-0035,WH-01,170
2026-08-25,SKU-0023,WH-03,107
2026-06-30,SKU-0038,WH-04,144
2026-07-14,SKU-0018,WH-06,145
11-Aug-2026,SKU-0018,WH-03,92
2026-07-28,SKU-0014,WH-04,127
2026-08-04,SKU-0042,WH-07,58
2026-08-25,SKU-0001,WH-02,72
2026-07-21,SKU-0015,WH-08,-19
2026-08-18,SKU-0033,wh-01,154
2026-09-01,SKU-0038,WH-04,31
2026-08-18,SKU-0018,WH-03,81
2026-08-04,SKU-0003,WH-06,-159
01-Sep-2026,SKU-0017,WH-02,147
2026-08-18,SKU-0006,WH-01,124
30-Jun-2026,SKU-0019,WH_05,131
2026-07-21,SKU-0002,WH-05,90
2026-08-04,SKU-0017,WH-05,187
2026-08-25,SKU-0030,WH-03,70
2026-07-14,SKU-0020,WH-07,202
18-Aug-2026,SKU-0008,WH-04,127
2026-08-11,SKU-0024,WH-03,85
2026-07-07,SKU-0011,WH-04,32
2026-08-25,SKU-0027,WH-01,102
2026-06-30,SKU-0044,WH-05,46
,SKU-0011,WH-07,95
2026-07-07,SKU-0032,WH-03,140
2026-07-07,SKU-0020,WH-02,125
2026-07-07,SKU-0018,WH-03,171
2026-08-25,SKU-0042,WH-06,83
2026-07-28,SKU-0015,WH-08,-3
2026-06-30,SKU-0033,WH-06,160
2026-09-01,SKU-0020,WH-05,54
2026-08-25,SKU-0006,WH-07,71
2026-08-11,SKU-0034,WH-04,42
2026-07-21,SKU-0014,WH-04,109
2026-07-07,SKU-0004,WH-05,91
2026-06-30,SKU-0018,WH-02,58
2026-07-21,SKU-0004,WH-06,84
,SKU-0021,WH-03,15
2026-07-14,SKU-0040,WH-06,125
2026-08-18,SKU-0020,WH-03,228
2026-08-04,SKU-0039,WH-02,245
2026-06-30,SKU-0035,WH-05,73
2026-07-28,SKU-0018,WH-05,41
2026-09-01,SKU-0021,WH-04,61
2026-06-30,SKU-0035,WH-06,194
2026-08-25,SKU-0014,WH-04,189
2026-08-04,SKU-0041,WH-01,183
2026-07-28,SKU-0041,WH-07,233
25-Aug-2026,SKU-0035,WH-06,146
2026-08-18,SKU-0024,WH-05,139
2026-08-25,SKU-0005,WH-03,149
2026-07-21,SKU-0010,WH-08,150
2026-07-07,SKU-0028,WH-07,88
2026-07-28,SKU-0008,WH-01,109
2026-08-11,SKU-0006,WH-08,92
2026-07-28,SKU-0024,WH-03,235
2026-07-28,SKU-0032,WH_05,89
2026-06-30,SKU-0014,WH-07,129
2026-08-25,SKU-0005,WH-06,182
2026-06-30,SKU-0028,wh-05,27
2026-07-07,SKU-0045,WH-05,111
2026-07-21,SKU-0009,WH-01,19
2026-07-07,SKU-0020,WH-08,105
01-Sep-2026,SKU-0009,WH-02,107
2026-07-14,SKU-0015,WH-08,78
2026-08-04,SKU-0019,WH-05,212
2026-07-28,SKU-0001,WH-07,95
2026-07-28,SKU-0045,WH-03,99
,SKU-0033,WH-05,205
2026-08-18,SKU-0007,WH-05,147
2026-09-01,SKU-0012,WH-08,160
2026-09-01,SKU-0033,WH-02,70
2026-07-28,SKU-0009,WH-04,162
25-Aug-2026,SKU-0028,WH-01,97
2026-08-18,SKU-0012,WH-03,108
2026-06-30,SKU-0028,WH-04,108
2026-08-18,SKU-0002,WH-08,244
2026-07-14,SKU-0012,WH-04,67
2026-08-25,SKU-0027,WH-04,166
2026-07-21,SKU-0012,WH-07,20
2026-08-11,SKU-0001,WH-03,47
2026-08-11,SKU-0004,WH-04,94
2026-06-30,SKU-0025,WH-06,73
2026-07-21,SKU-0023,WH-01,94
2026-08-18,SKU-0020,WH-07,68
2026-08-11,SKU-0003,WH-04,103
01-Sep-2026,SKU-0010,WH-06,154
2026-07-14,SKU-0040,WH-05,100
2026-08-11,SKU-0041,WH-03,92
2026-08-18,SKU-0038,WH-06,130
2026-08-11,SKU-0025,WH_05,180
2026-08-11,SKU-0012,WH-02,81
2026-07-07,SKU-0021,WH-07,254
2026-07-07,SKU-0021,WH-04,82
2026-08-25,SKU-0039,WH-06,55
2026-09-01,SKU-0010,WH-02,185
2026-08-04,SKU-0006,WH-06,237
2026-08-18,SKU-0040,WH-01,149
2026-07-07,SKU-0006,WH-02,92
2026-07-28,SKU-0040,WH-07,68
2026-08-18,SKU-0029,WH-06,211
2026-07-28,SKU-0042,WH-01,56
2026-06-30,SKU-0020,WH-06,121
2026-09-01,SKU-0031,WH-01,151
2026-08-18,SKU-0037,WH-04,184
2026-08-18,SKU-0014,WH-01,62
2026-07-28,SKU-0044,wh-01,155
14-Jul-2026,SKU-0029,WH-07,119
2026-08-04,SKU-0008,WH-02,33
2026-07-07,SKU-0037,WH-05,110
2026-08-18,SKU-0019,WH-02,131
2026-08-04,SKU-0032,WH-08,211
2026-08-11,SKU-0042,WH-05,47
2026-08-11,SKU-0014,WH-08,168
2026-07-21,SKU-0030,WH-08,64
2026-07-28,SKU-0033,WH-04,110
2026-07-07,SKU-0040,WH-02,171
2026-07-28,SKU-0014,WH-01,97
2026-07-28,SKU-0007,WH-01,166
2026-08-04,SKU-0006,WH-04,147
2026-07-28,SKU-0006,WH-02,106
2026-06-30,SKU-0044,WH-04,190
2026-06-30,SKU-0041,WH-01,68
2026-07-28,SKU-0041,WH-02,183
2026-09-01,SKU-0002,WH-02,24
2026-07-28,SKU-0035,WH-06,112
2026-07-28,SKU-0042,WH-06,158
2026-08-11,SKU-0028,WH-01,60
2026-06-30,SKU-0037,WH-08,108
2026-08-11,SKU-0018,WH-05,52
2026-08-18,SKU-0002,WH-04,144
2026-08-11,SKU-0011,WH-06,194
2026-08-04,SKU-0017,WH-07,86
2026-07-28,SKU-0026,WH-08,132
2026-07-07,SKU-0031,WH-02,75
2026-06-30,SKU-0024,WH-03,223
2026-07-07,SKU-0005,WH-07,168
2026-08-25,SKU-0011,WH-08,108
2026-07-21,SKU-0032,WH-08,183
2026-08-11,SKU-0021,WH-01,153
2026-08-18,SKU-0035,WH-06,196
,SKU-0038,WH-05,222
2026-08-11,SKU-0009,WH-07,137
2026-08-04,SKU-0033,WH-07,-4
2026-06-30,SKU-0029,WH-02,-38
2026-08-04,SKU-0044,WH-04,87
2026-09-01,SKU-0014,WH-04,101
2026-09-01,SKU-0008,WH-06,115
2026-07-21,SKU-0013,WH-04,136
2026-07-28,SKU-0020,WH-06,96
2026-06-30,SKU-0017,WH-02,139
2026-06-30,SKU-0032,WH-02,76
2026-07-14,SKU-0001,WH-02,67
2026-09-01,SKU-0005,WH-01,131
2026-07-14,SKU-0021,WH-99,56
2026-08-18,SKU-0010,WH-03,151
2026-07-07,SKU-0020,WH-03,148
11-Aug-2026,SKU-0045,WH-03,151
28-Jul-2026,SKU-0004,WH-05,145
2026-08-18,SKU-0036,WH-06,167
2026-08-11,SKU-0023,WH-07,92
2026-06-30,SKU-0019,WH-02,155
2026-07-14,SKU-0039,WH_05,85
2026-07-14,SKU-0017,WH-06,123
2026-08-11,SKU-0014,WH-06,11
,SKU-0037,WH-08,120
2026-07-14,SKU-0033,WH-07,26
2026-08-25,SKU-0029,WH-06,97
2026-08-18,SKU-0004,WH-04,192
2026-07-07,SKU-0017,WH-05,131
2026-08-04,SKU-0018,WH-02,139
2026-07-14,SKU-0011,WH-04,91
2026-07-21,SKU-0026,WH-02,190
07/21/2026,SKU-0033,WH-02,135
2026-07-14,SKU-0044,wh-05,119
2026-08-11,SKU-0015,WH-07,209
2026-08-11,SKU-0038,WH-03,237
2026-09-01,SKU-0005,WH-05,64
2026-08-04,SKU-0039,WH-01,80
2026-07-28,SKU-0029,WH-08,147
2026-07-21,SKU-0001,WH-04,144
2026-08-04,SKU-0013,WH-02,98
2026-08-11,SKU-0029,WH-05,65
2026-07-14,SKU-0026,WH-08,28
01-Sep-2026,SKU-0016,WH-08,127
2026-08-25,SKU-0029,WH-08,106
2026-08-25,SKU-0030,WH-09,125
2026-07-21,SKU-0015,WH-05,102
2026-07-07,SKU-0032,WH-01,139
2026-08-18,SKU-0005,WH-07,106
2026-07-07,SKU-0001,WH-04,31
2026-08-04,SKU-0023,WH-08,53
2026-08-04,SKU-0039,WH-05,156
2026-08-25,SKU-0023,WH-02,61
2026-07-14,SKU-0041,WH-06,171
2026-08-04,SKU-0038,Wh-01,167
2026-06-30,SKU-0035,WH-08,52
2026-07-14,SKU-0034,WH-09,171
2026-07-21,SKU-0012,WH-03,165
2026-07-07,SKU-0021,WH-02,40
2026-07-07,SKU-0010,WH-03,121
2026-08-25,SKU-0017,WH-07,148
,SKU-0016,WH-04,203
2026-08-18,SKU-0003,WH-02,132
2026-08-18,SKU-0043,WH-06,156
2026-07-21,SKU-0020,WH-03,143
2026-07-28,SKU-0003,WH-03,147
08/18/2026,SKU-0045,WH-03,197
2026-08-18,SKU-0009,WH-06,157
2026-08-04,SKU-0019,WH-07,100
2026-08-25,SKU-0038,WH-04,130
2026-09-01,SKU-0039,WH-03,118
2026-09-01,SKU-0030,WH-05,47
2026-07-21,SKU-0008,WH-05,89
2026-08-04,SKU-0031,WH-01,181
08/18/2026,SKU-0033,WH-99,113
25-Aug-2026,SKU-0006,WH-99,153
2026-08-04,SKU-0022,WH-06,203
2026-08-18,SKU-0004,WH-03,3
30-Jun-2026,SKU-0036,WH-03,97
2026-08-11,SKU-0014,WH-01,-9
2026-07-21,SKU-0019,WH-01,116
2026-07-28,SKU-0034,WH-03,235
2026-08-11,SKU-0014,WH-05,114
2026-07-14,SKU-0045,WH-08,224
2026-07-07,SKU-0043,WH-04,141
2026-08-11,SKU-0014,WH-03,181
2026-07-21,SKU-0017,WH-07,164
2026-08-04,SKU-0023,Wh-01,68
2026-07-07,SKU-0035, WH-01 ,241
2026-07-14,SKU-0006,WH-06,29
2026-08-04,SKU-0033,WH-01,47
08/11/2026,SKU-0043,WH-01,87
2026-09-01,SKU-0025,WH-06,142
2026-08-18,SKU-0040,WH-04,157
2026-07-14,SKU-0028,WH-07,204
2026-07-07,SKU-0005,WH-06,196
08/04/2026,SKU-0027,WH-99,139
2026-07-21,SKU-0006,WH-03,127
2026-07-14,SKU-0039,WH-07,117
2026-07-14,SKU-0044,WH-03,-83
06/30/2026,SKU-0045,WH-08,100
2026-07-14,SKU-0030,WH-04,187
2026-07-21,SKU-0006,WH-04,40
2026-06-30,SKU-0042,WH-05,65
2026-08-11,SKU-0009,WH-05,-19
2026-06-30,SKU-0004,WH-01,38
2026-08-25,SKU-0025,WH-05,84
2026-06-30,SKU-0001,WH-01,128
2026-08-04,SKU-0032,WH-07,88
2026-07-28,SKU-0010,WH-07,56
2026-09-01,SKU-0043,WH-02,105
2026-07-14,SKU-0039,WH-01,50
2026-08-11,SKU-0023,WH-01,197
2026-07-28,SKU-0010,WH-06,66
2026-07-21,SKU-0030,WH-01,134
2026-09-01,SKU-0031,WH-08,151
2026-07-14,SKU-0014,WH-03,196
2026-07-28,SKU-0038,WH-03,100
2026-08-04,SKU-0018,WH-01,70
2026-06-30,SKU-0028,WH-01,89
2026-07-07,SKU-0008,WH-01,188
2026-08-11,SKU-0043,WH-03,154
2026-09-01,SKU-0001,WH-06,15
2026-09-01,SKU-0002,WH-06,64
2026-06-30,SKU-0034,WH-04,113
2026-08-04,SKU-0027,WH-04,144
2026-09-01,SKU-0011,WH-07,44
2026-08-25,SKU-0034,WH-08,151
2026-06-30,SKU-0013,WH-05,157
,SKU-0006,wh-05,203
,SKU-0028,WH_05,24
2026-08-18,SKU-0009,WH-99,136
2026-09-01,SKU-0005,WH-06,96
2026-08-04,SKU-0038,WH-03,127
2026-07-14,SKU-0018,wh-05,153
2026-07-21,SKU-0044,WH-04,165
2026-07-21,SKU-0005,WH-01,147
,SKU-0033,Wh-01,113
2026-06-30,SKU-0025,WH-01,93
2026-08-18,SKU-0033,WH-02,161
2026-07-21,SKU-0026,WH-08,60
2026-08-25,SKU-0004,WH-07,156
2026-08-04,SKU-0022,WH-07,102
2026-08-25,SKU-0016,WH-08,244
2026-07-28,SKU-0039,WH-09,179
2026-07-07,SKU-0028,WH-06,200
2026-08-18,SKU-0038,WH-08,121
2026-09-01,SKU-0026,WH-08,135
2026-09-01,SKU-0029,WH-08,81
2026-08-18,SKU-0018,WH-06,-87
2026-09-01,SKU-0029,WH-03,80
,SKU-0030,WH-07,101
2026-08-04,SKU-0045,WH-03,0
2026-08-25,SKU-0020,WH-03,27
2026-07-07,SKU-0031,WH-07,279
2026-08-11,SKU-0018,WH-07,-31
2026-07-21,SKU-0020,WH-06,20
2026-07-14,SKU-0043,WH-07,129
2026-09-01,SKU-0013,WH_05,224
2026-09-01,SKU-0045,WH-03,63
2026-07-07,SKU-0014,WH-07,203
07/07/2026,SKU-0026,WH-02,156
2026-08-11,SKU-0018,WH-99,71
2026-08-25,SKU-0034,WH-06,263
2026-08-04,SKU-0010,WH-02,75
21-Jul-2026,SKU-0032,WH-05,138
2026-07-21,SKU-0008,WH-08,176
2026-07-21,SKU-0036,WH-08,101
2026-09-01,SKU-0039,WH-01,106
2026-08-18,SKU-0036,WH-07,117
2026-08-25,SKU-0036,WH-08,122
2026-08-25,SKU-0017,WH-06,92
2026-08-11,SKU-0019,WH-04,185
2026-06-30,SKU-0039,WH-08,177
2026-07-21,SKU-0023,WH-06,96
2026-08-25,SKU-0008,WH-05,251
2026-07-07,SKU-0033,WH-06,125
2026-07-07,SKU-0039,WH-05,56
2026-08-25,SKU-0016,WH-04,147
2026-07-21,SKU-0045,WH-02,67
2026-08-18,SKU-0030,WH-06,119
2026-07-07,SKU-0006,WH-06,11
2026-08-04,SKU-0038,WH-04,73
2026-08-04,SKU-0030,WH-01,161
2026-08-18,SKU-0032,WH-02,65
2026-07-14,SKU-0043,WH-05,172
2026-09-01,SKU-0011,WH-01,167
2026-08-04,SKU-0029,WH-07,192
2026-06-30,SKU-0029,WH-06,110
2026-08-25,SKU-0011,WH-03,193
07/21/2026,SKU-0035,WH-01,77
2026-07-28,SKU-0022,WH-06,36
2026-08-04,SKU-0042,WH-05,94
2026-08-18,SKU-0028,WH-03,119
2026-07-07,SKU-0032,WH-05,194
2026-08-04,SKU-0020,WH-02,138
2026-06-30,SKU-0030,WH_05,96
2026-08-18,SKU-0043,WH-02,86
2026-07-07,SKU-0037,WH-07,94
2026-08-04,SKU-0035,WH-05,155
2026-08-18,SKU-0016,WH-03,138
2026-07-07,SKU-0045,WH-07,158
2026-07-14,SKU-0036,WH-03,113
2026-06-30,SKU-0041,WH_05,172
2026-07-07,SKU-0033,WH-07,100
2026-09-01,SKU-0010,WH-03,208
2026-06-30,SKU-0042,WH-03,146
25-Aug-2026,SKU-0032,WH-04,84
2026-07-28,SKU-0044,WH-03,90
2026-07-07,SKU-0009,WH-02,54
2026-08-04,SKU-0023,WH-02,232
2026-08-04,SKU-0040,WH-06,62
