OrderID,Order Date,Sku,WarehouseID,OrderedQty,Status
ORD000199,2026-08-19,SKU-0014,wh-05,48,Shipped
ORD000197,2026-08-19,SKU-0014,WH-03,41,PENDING
ORD000690,2026-08-09,SKU-0041,WH-05,52,Cancelled
ORD000176,2026-06-24,SKU-0018,WH-04,55,Delivered
ORD000512,2026-07-29,SKU-0004,WH-08,45,PENDING
ORD000451,2026-08-20,SKU-0022,WH-01,51,Cancelled
ORD000749,07/18/2026,SKU-0034,WH-03,42,Delivered
ORD000226,2026-07-05,SKU-0024,WH-02,37,PENDING
ORD000248,,SKU-0040,WH-06,37,Shipped
ORD000334,2026-07-02,SKU-0018,WH-04,63,CANCELLED
ORD000330,2026-08-21,SKU-0017,WH-08,42,Delivered
ORD000583,2026-08-20,SKU-0017,WH-07,44,shiped
ORD000369,16-Jul-2026,SKU-0030,WH-04,55,delivered
ORD000107,2026-08-15,SKU-0020,WH-02,45,cancelled
ORD000695,2026-08-12,SKU-0019,WH-01,46,delivered
ORD000614,2026-06-29,SKU-0040,WH-04,41,PENDING
ORD000559,2026-08-26,SKU-0022,WH-06,-47,pending 
ORD000640,2026-07-04,SKU-0045,WH-01,53,delivered
ORD000089,2026-07-18,SKU-0030,WH-05,44,delivered
ORD000344,2026-07-07,SKU-0045,WH-04,32,Pending
ORD000546,2026-07-27,SKU-0009,WH-05,35,cancelled
ORD000074,2026-07-02,SKU-0023,WH-03,36,delivered
ORD000174,2026-06-24,SKU-0018,WH-07,54,Delivered
ORD000595,2026-07-19,SKU-0025,WH-01,45,cancelled
ORD000492,2026-07-29,SKU-0010,WH-01,50,pending 
ORD000291,2026-07-09,SKU-0025,WH-05,44,PENDING
ORD000203,2026-07-26,SKU-0026,WH-04,37,delivered
ORD000696,01-Jul-2026,SKU-0027,WH-04,46,shiped
ORD000653,2026-07-28,SKU-0037,WH_05,45,Shipped
ORD000352,2026-06-29,SKU-0011,WH-05,41,Cancelled
ORD000146,2026-08-23,SKU-0017,WH-99,53,Cancelled
ORD000143,2026-07-28,SKU-0006,WH-05,54,Cancelled
ORD000318,2026-07-31,SKU-0026,WH-05,42,Pending
ORD000376,2026-08-05,SKU-0026,WH-07,67,pending 
ORD000001,2026-08-21,SKU-0006,WH-01,34,delivered
ORD000128,2026-08-19,SKU-0011,WH-07,37,CANCELLED
ORD000388,2026-08-19,SKU-0004,WH-08,49,shiped
ORD000280,08/27/2026,SKU-0043,WH-01,39,Cancelled
ORD000733,2026-08-11,SKU-0006,WH-02,45,shiped
ORD000425,2026-08-27,SKU-0020,WH-04,38,pending 
ORD000706,2026-07-23,SKU-0023, WH-01 ,41,delivered
ORD000279,2026-08-06,SKU-0008,WH-04,55,cancelled
ORD000431,08/24/2026,SKU-0008,WH-08,49,Pending
ORD000455,29-Aug-2026,SKU-0011,WH-02,55,pending 
ORD000565,2026-08-24,SKU-0043,WH-02,36,PENDING
ORD000549,08/04/2026,SKU-0006,WH-05,49,PENDING
ORD000724,2026-07-23,SKU-0039,WH-05,41,Shipped
ORD000192,2026-06-24,SKU-0038,WH-02,52,PENDING
ORD000566,2026-08-14,SKU-0014,WH-04,50,pending 
ORD000281,11-Aug-2026,SKU-0012,WH-01,44,Pending
ORD000181,2026-08-07,SKU-0022,WH-05,43,CANCELLED
ORD000495,2026-08-31,SKU-0006,WH-03,41,pending 
ORD000612,2026-07-27,SKU-0026,WH-06,35,CANCELLED
ORD000198,2026-08-22,SKU-0019,WH-01,44,Delivered
ORD000137,2026-08-23,SKU-0029,WH-06,42,CANCELLED
ORD000304,2026-08-09,SKU-0027,WH-07,48,cancelled
ORD000554,2026-08-10,SKU-0033,WH-04,39,Pending
ORD000580,2026-08-12,SKU-0022,WH-07,45,shiped
ORD000160,2026-08-18,SKU-0043,WH-03,50,shiped
ORD000499,2026-06-25,SKU-0044,WH-02,31,cancelled
ORD000080,2026-07-03,SKU-0006,WH-03,51,Delivered
ORD000453,2026-07-07,SKU-0002,WH-04,39,pending 
ORD000399,2026-07-19,SKU-0044,WH-04,34,PENDING
ORD000108,2026-07-26,SKU-0038,WH-08,59,shiped
ORD000659,2026-07-15,SKU-0030,WH-05,55,cancelled
ORD000468,2026-06-28,SKU-0044,WH-06,54,Pending
ORD000616,2026-08-29,SKU-0019,WH-02,59,Delivered
ORD000720,2026-08-16,SKU-0009,WH-06,47,delivered
ORD000257,2026-08-17,SKU-0005,WH-03,52,PENDING
ORD000721,08/15/2026,SKU-0033,WH-04,59,Delivered
ORD000258,2026-06-28,SKU-0019,WH-05,52,shiped
ORD000698,2026-08-07,SKU-0024,WH-01,47,CANCELLED
ORD000513,2026-07-18,SKU-0029,WH-05,39,shiped
ORD000676,2026-07-09,SKU-0019,WH-03,33,shiped
ORD000213,2026-08-30,SKU-0003,WH-99,47,cancelled
ORD000439,2026-07-07,SKU-0018,wh-05,48,delivered
ORD000597,2026-08-29,SKU-0035,WH-04,50,pending 
ORD000158,2026-08-31,SKU-0008,WH-06,45,PENDING
ORD000476,2026-08-12,SKU-0041,WH-04,45,cancelled
ORD000297,2026-06-27,SKU-0029,WH-01,-43,PENDING
ORD000393,,SKU-0033,WH-07,48,Delivered
ORD000672,2026-07-05,SKU-0019,WH-01,51,PENDING
ORD000295,08/30/2026,SKU-0010,WH-99,42,Delivered
ORD000204,2026-08-02,SKU-0035,WH-04,30,Cancelled
ORD000459,2026-08-14,SKU-0012,WH-01,34,Pending
ORD000273,2026-06-27,SKU-0007,WH-02,52,Pending
ORD000582,2026-06-27,SKU-0005,WH-01,41,Shipped
ORD000665,2026-08-19,SKU-0003,WH-02,51,delivered
ORD000472,2026-08-19,SKU-0028,WH-07,60,PENDING
ORD000701,2026-07-10,SKU-0003,WH-06,52,cancelled
ORD000736,2026-08-23,SKU-0031,WH-01,42,Shipped
ORD000626,2026-08-19,SKU-0018,WH-03,42,pending 
ORD000084,2026-08-01,SKU-0044,WH-02,35,Delivered
ORD000055,2026-07-02,SKU-0036,WH-05,,shiped
ORD000601,2026-07-18,SKU-0018,WH-05,50,PENDING
ORD000426,2026-07-08,SKU-0005,WH-03,48,pending 
ORD000636,2026-07-18,SKU-0037,WH-02,45,Cancelled
ORD000402,2026-08-25,SKU-0015,WH-05,36,shiped
ORD000642,,SKU-0014,WH-08,44,delivered
ORD000391,2026-06-25,SKU-0001,WH-06,38,PENDING
ORD000275,2026-06-26,SKU-0012,WH-01,44,shiped
ORD000412,2026-06-28,SKU-0019,WH-06,42,PENDING
ORD000639,2026-08-22,SKU-0015,WH-07,43,Delivered
ORD000543,2026-07-26,SKU-0012,WH-01,61,Delivered
ORD000475,2026-08-28,SKU-0003,WH-04,49,Pending
ORD000250,2026-07-29,SKU-0042,WH-07,49,CANCELLED
ORD000382,2026-08-29,SKU-0024,WH-07,51,cancelled
ORD000578,2026-07-01,SKU-0043,WH-06,-36,Shipped
ORD000016,2026-08-11,SKU-0037,WH-02,44,cancelled
ORD000342,2026-07-19,SKU-0019,WH-08,42,PENDING
ORD000300,2026-07-06,SKU-0041,WH-08,53,Delivered
ORD000501,2026-08-24,SKU-0018,WH-03,51,PENDING
ORD000417,2026-08-12,SKU-0045,wh-05,40,shiped
ORD000387,08/05/2026,SKU-0039,WH-07,48,CANCELLED
ORD000576,2026-08-11,SKU-0003,WH-04,36,PENDING
ORD000251,2026-08-15,SKU-0021,WH-02,47,CANCELLED
ORD000212,28-Aug-2026,SKU-0011,WH-07,44,delivered
ORD000340,2026-07-15,SKU-0007,WH-05,52,Pending
ORD000551,2026-08-17,SKU-0013,WH-04,33,CANCELLED
ORD000193,2026-08-08,SKU-0018,WH-06,38,CANCELLED
ORD000504,08/19/2026,SKU-0026,WH-06,49,Delivered
ORD000447,2026-07-13,SKU-0029,WH-02,48,PENDING
ORD000630,2026-07-25,SKU-0045,WH-04,39,pending 
ORD000236,,SKU-0005,WH-04,54,CANCELLED
ORD000651,2026-08-30,SKU-0008,WH-05,44,pending 
ORD000032,19-Jul-2026,SKU-0033,WH-08,38,delivered
ORD000540,2026-07-18,SKU-0029,WH-02,47,pending 
ORD000511,2026-07-05,SKU-0045,WH-06,49,Delivered
ORD000156,2026-07-17,SKU-0044,WH-01,58,Shipped
ORD000606,2026-07-28,SKU-0005,WH-07,27,delivered
ORD000600,2026-08-18,SKU-0002,WH-07,40,cancelled
ORD000524,2026-08-26,SKU-0002,WH-07,50,Cancelled
ORD000365,2026-07-25,SKU-0029,WH-02,46,pending 
ORD000529,2026-07-18,SKU-0029,WH-06,50,delivered
ORD000510,2026-08-01,SKU-0045,WH-03,51,cancelled
ORD000116,2026-06-29,SKU-0041,WH-08,54,cancelled
ORD000411,2026-07-10,SKU-0041,WH-06,34,PENDING
ORD000632,2026-07-10,SKU-0036,WH-03,42,Pending
ORD000010,,SKU-0031,WH-08,45,Shipped
ORD000003,2026-07-12,SKU-0015,WH-04,49,Shipped
ORD000284,2026-07-07,SKU-0038,WH-03,49,shiped
ORD000289,2026-06-25,SKU-0036,WH-01,59,Shipped
ORD000457,2026-08-22,SKU-0029,WH-07,42,Shipped
ORD000315,2026-07-23,SKU-0036,WH-05,47,Shipped
ORD000013,2026-07-27,SKU-0014,WH-08,51,PENDING
ORD000164,2026-08-15,SKU-0015,WH-03,33,CANCELLED
ORD000526,2026-07-31,SKU-0001,WH-08,51,Shipped
ORD000523,13-Jul-2026,SKU-0040,WH-04,-57,cancelled
ORD000463,2026-08-22,SKU-0033,WH-07,47,Pending
ORD000040,29-Aug-2026,SKU-0042,WH-03,,cancelled
ORD000503,2026-08-03,SKU-0035,WH-01,46,Delivered
ORD000065,2026-08-26,SKU-0033,WH-08,47,Delivered
ORD000072,2026-06-25,SKU-0036, WH-01 ,37,Pending
ORD000317,,SKU-0045,WH-04,,CANCELLED
ORD000435,06/27/2026,SKU-0027,WH-07,34,delivered
ORD000113,2026-08-08,SKU-0014,WH-06,44,PENDING
ORD000400,2026-07-30,SKU-0023,WH-06,40,CANCELLED
ORD000537,2026-08-09,SKU-0030,WH-08,40,delivered
ORD000686,2026-08-26,SKU-0045,WH-06,45,CANCELLED
ORD000206,2026-07-25,SKU-0030,WH-04,46,cancelled
ORD000452,2026-07-24,SKU-0029,WH-01,38,shiped
ORD000321,2026-07-25,SKU-0016,WH-06,47,delivered
ORD000205,2026-08-12,SKU-0003,WH-06,46,delivered
ORD000423,2026-08-04,SKU-0010,WH-02,40,Delivered
ORD000231,2026-06-27,SKU-0022,WH-07,54,Delivered
ORD000130,2026-06-29,SKU-0018,WH-06,42,Pending
ORD000414,2026-08-12,SKU-0025,WH-06,40,pending 
ORD000120,2026-08-02,SKU-0040,WH-08,51,delivered
ORD000007,,SKU-0037,WH-08,42,Cancelled
ORD000728,2026-07-15,SKU-0030,WH-04,35,shiped
ORD000558,2026-08-13,SKU-0040,WH-01,51,Shipped
ORD000436,2026-09-01,SKU-0021,WH-01,56,CANCELLED
ORD000569,2026-06-24,SKU-0030,WH-08,33,CANCELLED
ORD000221,2026-07-03,SKU-0043,WH-04,43,Shipped
ORD000012,2026-07-08,SKU-0023,WH-03,39,CANCELLED
ORD000171,2026-07-31,SKU-0011,WH-08,46,Pending
ORD000397,2026-08-12,SKU-0016,WH-01,52,delivered
ORD000272,15-Jul-2026,SKU-0016,WH-06,55,Pending
ORD000522,01-Sep-2026,SKU-0013,WH-04,49,Cancelled
ORD000327,2026-08-20,SKU-0028,WH-06,36,pending 
ORD000407,2026-07-20,SKU-0022,WH-01,53,shiped
ORD000058,2026-08-23,SKU-0002,WH-01,53,PENDING
ORD000311,2026-08-21,SKU-0032,WH-03,41,shiped
ORD000101,2026-07-22,SKU-0021,WH-02,45,PENDING
ORD000123,2026-08-18,SKU-0020,WH-01,39,Shipped
ORD000610,2026-08-24,SKU-0037,WH_05,39,Delivered
ORD000180,2026-06-26,SKU-0006,WH-07,46,Delivered
ORD000161,2026-08-10,SKU-0012,WH-03,45,PENDING
ORD000700,07/24/2026,SKU-0006,wh-01,42,PENDING
ORD000419,2026-07-04,SKU-0017,WH-02,37,Shipped
ORD000374,2026-07-07,SKU-0030,WH-05,51,Pending
ORD000152,2026-08-01,SKU-0010,WH-04,39,cancelled
ORD000117,2026-08-17,SKU-0015,WH-03,42,shiped
ORD000735,2026-08-08,SKU-0014,WH-06,48,shiped
ORD000541,2026-07-05,SKU-0011,WH-01,44,CANCELLED
ORD000371,2026-06-30,SKU-0013,WH-03,40,Cancelled
ORD000309,2026-08-19,SKU-0030,WH-03,46,PENDING
ORD000508,2026-07-12,SKU-0007,WH-08,45,Cancelled
ORD000312,2026-08-26,SKU-0041,WH-01,39,Shipped
ORD000356,2026-07-13,SKU-0013,WH-01,32,shiped
ORD000240,2026-07-05,SKU-0005,WH-05,32,pending 
ORD000134,2026-08-14,SKU-0006,WH-03,44,Delivered
ORD000155,2026-07-31,SKU-0003,WH-02,36,Cancelled
ORD000139,2026-07-20,SKU-0030,WH-07,50,cancelled
ORD000345,2026-08-31,SKU-0011,WH-03,33,PENDING
ORD000060,2026-06-30,SKU-0045,WH-06,54,delivered
ORD000666,2026-08-07,SKU-0016,WH-01,52,Cancelled
ORD000165,2026-07-01,SKU-0029,WH-06,46,Shipped
ORD000557,2026-07-27,SKU-0009,WH-08,38,Shipped
ORD000732,2026-08-14,SKU-0044,WH-02,38,Delivered
ORD000131,2026-07-18,SKU-0014,WH-01,47,cancelled
ORD000471,2026-07-30,SKU-0043,WH-03,39,Cancelled
ORD000441,2026-07-11,SKU-0009,WH-06,42,CANCELLED
ORD000741,2026-08-28,SKU-0039,WH-04,59,Delivered
ORD000038,2026-07-27,SKU-0043,WH-08,53,Cancelled
ORD000249,2026-07-07,SKU-0036,WH-03,50,Pending
ORD000053,2026-07-24,SKU-0036,WH-08,41,Delivered
ORD000194,2026-07-22,SKU-0029,WH-04,40,pending 
ORD000136,2026-07-06,SKU-0014,WH-08,41,Delivered
ORD000288,2026-08-05,SKU-0028,WH-03,31,pending 
ORD000709,2026-07-13,SKU-0014,WH-03,47,delivered
ORD000486,2026-07-19,SKU-0002,WH-02,41,PENDING
ORD000335,2026-07-07,SKU-0023,WH-02,48,shiped
ORD000429,2026-08-21,SKU-0032,WH-05,43,CANCELLED
ORD000066,,SKU-0008,WH-04,41,delivered
ORD000386,2026-08-14,SKU-0016,WH-08,52,delivered
ORD000314,2026-06-26,SKU-0044,WH-06,44,delivered
ORD000052,2026-08-01,SKU-0006,WH-02,38,Cancelled
ORD000689,2026-08-17,SKU-0045,WH-07,35,Shipped
ORD000634,2026-08-13,SKU-0020,WH-03,33,delivered
ORD000239,2026-08-04,SKU-0045,WH-03,50,PENDING
ORD000246,2026-07-28,SKU-0041,WH-02,53,Delivered
ORD000028,2026-07-22,SKU-0034,WH-05,46,CANCELLED
ORD000432,2026-08-25,SKU-0015,WH-08,47,CANCELLED
ORD000265,2026-07-02,SKU-0009,WH-06,39,Delivered
ORD000244,2026-07-17,SKU-0011,WH-08,61,Delivered
ORD000103,2026-08-06,SKU-0002,WH-09,35,Pending
ORD000276,07/26/2026,SKU-0003,WH-06,41,Delivered
ORD000110,2026-08-15,SKU-0006,WH-06,45,shiped
ORD000346,07/09/2026,SKU-0032,WH-04,50,delivered
ORD000159,2026-08-23,SKU-0044,WH-08,52,Shipped
ORD000235,2026-06-29,SKU-0045,WH-09,-41,Cancelled
ORD000669,2026-07-05,SKU-0034,WH-06,43,Pending
ORD000112,2026-06-30,SKU-0043,WH-04,-39,pending 
ORD000552,2026-08-10,SKU-0038,WH-04,45,Shipped
ORD000664,04-Jul-2026,SKU-0034,WH-06,46,Delivered
ORD000617,2026-08-10,SKU-0023,WH-08,49,Shipped
ORD000262,,SKU-0019,WH-07,63,Shipped
ORD000223,2026-07-06,SKU-0025,WH-08,42,Delivered
ORD000757,2026-07-18,SKU-0041,WH-07,31,Cancelled
ORD000328,2026-08-13,SKU-0007,WH-05,45,cancelled
ORD000573,2026-08-21,SKU-0041,WH-01,45,delivered
ORD000333,2026-08-03,SKU-0038,WH-07,46,Shipped
ORD000637,2026-07-25,SKU-0008,WH-01,40,pending 
ORD000167,2026-08-22,SKU-0017,WH-07,37,CANCELLED
ORD000322,2026-07-10,SKU-0002,WH-09,46,PENDING
ORD000241,2026-07-15,SKU-0025,WH-02,52,Shipped
ORD000621,2026-07-05,SKU-0005,WH-06,50,PENDING
ORD000722,2026-08-02,SKU-0022,WH-03,51,CANCELLED
ORD000024,2026-07-01,SKU-0010,WH-04,54,delivered
ORD000294,2026-07-30,SKU-0029,WH-08,43,pending 
ORD000673,2026-08-12,SKU-0032,WH-01,-52,pending 
ORD000542,2026-06-27,SKU-0005,WH-03,41,PENDING
ORD000645,2026-07-05,SKU-0036,WH-06,47,CANCELLED
ORD000150,26-Aug-2026,SKU-0045,WH-99,-50,cancelled
ORD000041,2026-07-30,SKU-0044,WH-01,53,pending 
ORD000094,,SKU-0008,WH-08,53,shiped
ORD000699,,SKU-0030,WH-07,37,PENDING
ORD000217,2026-07-07,SKU-0009,WH-05,44,pending 
ORD000373,2026-07-16,SKU-0033,WH-02,37,shiped
ORD000023,2026-07-27,SKU-0036,WH-04,54,Delivered
ORD000268,2026-08-23,SKU-0003,WH-07,45,Cancelled
ORD000292,2026-07-10,SKU-0028,WH-07,-52,Delivered
ORD000200,27-Aug-2026,SKU-0031,WH-07,46,CANCELLED
ORD000173,2026-08-05,SKU-0043,WH-06,43,cancelled
ORD000100,2026-08-22,SKU-0008,WH-01,52,PENDING
ORD000379,2026-08-05,SKU-0044,WH-01,45,Cancelled
ORD000091,,SKU-0019,WH-06,43,Shipped
ORD000713,2026-08-13,SKU-0027,WH-01,42,pending 
ORD000381,2026-08-03,SKU-0030,WH-06,32,Shipped
ORD000716,2026-08-08,SKU-0019,WH-03,42,Shipped
ORD000222,2026-07-07,SKU-0030,WH-08,44,Delivered
ORD000458,2026-07-05,SKU-0039,WH-08,40,PENDING
ORD000188,2026-08-17,SKU-0028,WH-04,40,PENDING
ORD000629,07/31/2026,SKU-0032,WH-04,48,Shipped
ORD000460,2026-07-30,SKU-0029,WH-04,47,shiped
ORD000467,2026-06-30,SKU-0026,WH-08,47,Pending
ORD000076,2026-08-27,SKU-0021,WH-06,40,CANCELLED
ORD000242,2026-07-13,SKU-0028,WH-05,44,shiped
ORD000122,2026-08-11,SKU-0020,WH-01,46,shiped
ORD000073,2026-08-17,SKU-0042,WH-04,52,delivered
ORD000751,04-Aug-2026,SKU-0022,WH-01,41,PENDING
ORD000745,2026-08-02,SKU-0020,WH-05,42,Delivered
ORD000737,2026-07-20,SKU-0008,WH-03,47,Pending
ORD000347,2026-07-08,SKU-0035,WH-07,33,Delivered
ORD000740,2026-07-29,SKU-0042,WH-05,32,shiped
ORD000633,2026-08-25,SKU-0037,WH-07,43,shiped
ORD000416,2026-07-08,SKU-0034,WH-05,46,PENDING
ORD000577,2026-07-09,SKU-0017,WH-01,28,shiped
ORD000444,2026-07-14,SKU-0019,WH-02,38,Delivered
ORD000005,2026-08-07,SKU-0044,WH-01,28,shiped
ORD000377,2026-08-21,SKU-0036,WH-04,35,PENDING
ORD000688,2026-08-23,SKU-0021,WH-01,47,Shipped
ORD000069,2026-08-03,SKU-0030,WH-02,51,CANCELLED
ORD000014,2026-08-10,SKU-0027,WH-01,40,shiped
ORD000758,2026-06-27,SKU-0009,WH-02,45,cancelled
ORD000078,2026-08-15,SKU-0032,WH-06,40,Cancelled
ORD000202,2026-08-10,SKU-0013,WH-04,49,Cancelled
ORD000599,2026-08-26,SKU-0008,WH-04,53,delivered
ORD000567,2026-07-22,SKU-0024,WH-02,35,cancelled
ORD000004,2026-07-05,SKU-0023,WH-03,41,delivered
ORD000505,2026-07-13,SKU-0002,WH-04,44,CANCELLED
ORD000581,2026-07-30,SKU-0037,WH-05,56,Pending
ORD000710,2026-07-11,SKU-0038,WH-04,40,shiped
ORD000440,2026-08-01,SKU-0016,WH-03,41,shiped
ORD000602,2026-07-29,SKU-0014,WH-05,43,Delivered
ORD000293,2026-08-11,SKU-0011,WH-07,53,Delivered
ORD000071,2026-07-11,SKU-0018,WH-06,53,delivered
ORD000480,08/28/2026,SKU-0035,WH-04,43,pending 
ORD000002,2026-08-02,SKU-0036,WH-05,42,CANCELLED
ORD000025,2026-08-20,SKU-0012,WH-04,42,delivered
ORD000308,2026-07-25,SKU-0025,WH-06,36,Cancelled
ORD000216,2026-07-19,SKU-0044,WH-02,41,Shipped
ORD000343,2026-07-29,SKU-0023,WH-05,39,shiped
ORD000668,2026-08-07,SKU-0022,WH-03,50,pending 
ORD000166,2026-08-16,SKU-0028,WH-04,55,pending 
ORD000194,2026-07-22,SKU-0029,WH-04,40,pending 
ORD000712,2026-08-14,SKU-0030,WH-06,60,Shipped
ORD000331,2026-07-01,SKU-0037,WH-05,45,Shipped
ORD000177,2026-08-23,SKU-0002,WH-04,54,Pending
ORD000375,2026-08-31,SKU-0008,WH-06,44,Pending
ORD000247,18-Jul-2026,SKU-0014,WH-07,45,pending 
ORD000373,2026-07-16,SKU-0033,WH-02,37,shiped
ORD000445,2026-08-12,SKU-0027,WH-08,51,shiped
ORD000683,2026-07-28,SKU-0041,WH-03,49,CANCELLED
ORD000409,19-Jul-2026,SKU-0036,WH-07,60,cancelled
ORD000747,,SKU-0018,WH-07,54,CANCELLED
ORD000553,2026-07-15,SKU-0013,WH-07,48,Delivered
ORD000638,2026-07-10,SKU-0011,WH-06,33,Shipped
ORD000624,2026-08-09,SKU-0040,WH-06,54,delivered
ORD000307,2026-08-02,SKU-0032,WH-01,42,Cancelled
ORD000048,2026-07-10,SKU-0036,WH-04,50,Cancelled
ORD000521,2026-08-28,SKU-0002,WH-07,29,Pending
ORD000718,2026-07-30,SKU-0031,WH-08,42,Cancelled
ORD000054,2026-07-21,SKU-0038,WH-02,34,CANCELLED
ORD000589,2026-07-26,SKU-0008,WH-02,50,CANCELLED
ORD000234,2026-07-15,SKU-0029,WH-08,51,cancelled
ORD000114,07/01/2026,SKU-0002,WH-08,49,Cancelled
ORD000572,2026-08-14,SKU-0045,WH-05,36,pending 
ORD000329,2026-07-14,SKU-0006,WH-04,32,PENDING
ORD000191,2026-07-19,SKU-0023,WH-03,42,PENDING
ORD000535,2026-08-13,SKU-0044,WH-04,41,shiped
ORD000151,2026-06-25,SKU-0015,WH-05,34,pending 
ORD000179,2026-06-30,SKU-0012,WH-08,48,delivered
ORD000687,,SKU-0023,WH-03,51,pending 
ORD000384,2026-08-07,SKU-0043,WH-04,43,pending 
ORD000154,2026-06-27,SKU-0040,WH-02,50,CANCELLED
ORD000663,2026-08-13,SKU-0015,WH-04,40,Cancelled
ORD000256,2026-08-09,SKU-0025,WH-07,63,Cancelled
ORD000363,2026-07-15,SKU-0020,WH-06,34,Shipped
ORD000586,2026-07-29,SKU-0043,WH-03,54,Shipped
ORD000502,2026-08-02,SKU-0012,WH-06,54,delivered
ORD000594,2026-08-09,SKU-0039,WH-04,-51,pending 
ORD000175,2026-08-11,SKU-0002,WH-05,38,shiped
ORD000029,2026-06-30,SKU-0028,WH-05,50,PENDING
ORD000126,2026-08-21,SKU-0008,WH-05,47,Cancelled
ORD000536,2026-07-27,SKU-0021,WH-06,47,shiped
ORD000070,16-Jul-2026,SKU-0026,WH-06,34,Cancelled
ORD000613,2026-07-20,SKU-0011,WH-03,38,Shipped
ORD000464,07/02/2026,SKU-0045,WH-03,43,Pending
ORD000145,2026-06-25,SKU-0005,WH-07,46,Shipped
ORD000618,2026-06-30,SKU-0014,WH-01,41,Cancelled
ORD000677,2026-08-14,SKU-0020,WH-05,42,Cancelled
ORD000631,2026-08-24,SKU-0039,WH-03,58,Delivered
ORD000215,2026-07-01,SKU-0032,WH-04,50,PENDING
ORD000579,2026-07-31,SKU-0035,wh-01,44,shiped
ORD000286,2026-06-29,SKU-0008,WH-08,39,pending 
ORD000496,2026-07-28,SKU-0015,WH-05,29,Cancelled
