sku,warehouse_id,last_inventory_date,on_hand_qty,recent_sales_qty,last_sale_date,recent_orders_qty,last_order_date,warehouse_name,city,region,flag_stockout_risk,flag_excess_inventory,flag_order_backlog,flag_dead_stock
SKU-0008,WH-03,2026-08-25,190,41.0,2026-08-16,0.0,,East Hub,Mashhad,Northeast,False,True,False,False
SKU-0001,WH-08,2026-08-25,133,87.0,2026-08-26,0.0,,Border Hub,Zahedan,Southeast,False,False,False,False
SKU-0034,WH-01,2026-08-25,98,54.0,2026-08-30,0.0,,North DC,Tabriz,Northwest,False,False,False,False
SKU-0022,WH-04,2026-08-25,196,32.0,2026-08-15,42.0,2026-08-26,West Hub,Ahvaz,Southwest,False,True,False,False
SKU-0021,WH-05,2026-08-25,163,37.0,2026-08-23,72.0,2026-08-29,Central DC,Tehran,Central,False,True,False,False
SKU-0041,WH-01,2026-08-25,163,19.0,2026-08-09,142.0,2026-08-28,North DC,Tabriz,Northwest,False,True,False,False
SKU-0024,WH-01,2026-08-25,189,62.0,2026-09-01,48.0,2026-08-21,North DC,Tabriz,Northwest,False,False,False,False
SKU-0036,WH-06,2026-08-25,200,76.0,2026-09-01,46.0,2026-08-13,Coastal Hub,Bandar Abbas,South,False,False,False,False
SKU-0037,WH-06,2026-08-25,94,17.0,2026-08-26,0.0,,Coastal Hub,Bandar Abbas,South,False,True,False,False
SKU-0001,WH-01,2026-08-25,141,34.0,2026-08-28,0.0,,North DC,Tabriz,Northwest,False,True,False,False
SKU-0007,WH-08,2026-08-25,228,13.0,2026-08-29,0.0,,Border Hub,Zahedan,Southeast,False,True,False,False
SKU-0017,WH-02,2026-08-25,161,9.0,2026-08-19,0.0,,South DC,Shiraz,South,False,True,False,False
SKU-0003,WH-04,2026-08-25,37,46.0,2026-08-18,85.0,2026-08-28,West Hub,Ahvaz,Southwest,False,False,True,False
SKU-0027,WH-08,2026-08-25,90,0.0,,51.0,2026-08-12,Border Hub,Zahedan,Southeast,False,False,False,True
SKU-0017,WH-07,2026-08-25,148,0.0,,44.0,2026-08-20,Metro DC,Isfahan,Central,False,False,False,True
SKU-0027,WH-06,2026-08-25,167,24.0,2026-08-18,0.0,,Coastal Hub,Bandar Abbas,South,False,True,False,False
SKU-0043,WH-05,2026-08-25,162,22.0,2026-08-27,0.0,,Central DC,Tehran,Central,False,True,False,False
SKU-0009,WH-02,2026-08-25,131,15.0,2026-08-12,0.0,,South DC,Shiraz,South,False,True,False,False
SKU-0029,WH-06,2026-08-25,97,39.0,2026-08-08,0.0,,Coastal Hub,Bandar Abbas,South,False,False,False,False
SKU-0024,WH-02,2026-08-25,179,63.0,2026-08-30,44.0,2026-08-15,South DC,Shiraz,South,False,False,False,False
SKU-0008,WH-05,2026-08-25,251,15.0,2026-08-04,44.0,2026-08-30,Central DC,Tehran,Central,False,True,False,False
SKU-0007,WH-02,2026-08-25,97,22.0,2026-09-01,0.0,,South DC,Shiraz,South,False,True,False,False
SKU-0042,WH-06,2026-08-25,83,44.0,2026-08-28,0.0,,Coastal Hub,Bandar Abbas,South,False,False,False,False
SKU-0018,WH-01,2026-08-25,178,0.0,,0.0,,North DC,Tabriz,Northwest,False,False,False,True
SKU-0015,WH-07,2026-08-25,106,17.0,2026-08-06,43.0,2026-08-22,Metro DC,Isfahan,Central,False,True,False,False
SKU-0042,WH-07,2026-08-25,123,33.0,2026-08-30,0.0,,Metro DC,Isfahan,Central,False,False,False,False
SKU-0033,WH-04,2026-08-25,82,18.0,2026-08-11,39.0,2026-08-10,West Hub,Ahvaz,Southwest,False,True,False,False
SKU-0032,WH-05,2026-08-25,143,51.0,2026-08-31,0.0,,Central DC,Tehran,Central,False,False,False,False
SKU-0021,WH-06,2026-08-25,193,41.0,2026-08-29,46.0,2026-08-17,Coastal Hub,Bandar Abbas,South,False,True,False,False
SKU-0039,WH-07,2026-08-25,136,25.0,2026-08-10,0.0,,Metro DC,Isfahan,Central,False,True,False,False
SKU-0045,WH-07,2026-08-25,69,70.0,2026-08-28,35.0,2026-08-17,Metro DC,Isfahan,Central,False,False,False,False
SKU-0039,WH-06,2026-08-25,55,10.0,2026-08-09,0.0,,Coastal Hub,Bandar Abbas,South,False,True,False,False
SKU-0014,WH-06,2026-08-25,91,26.0,2026-08-29,144.0,2026-08-08,Coastal Hub,Bandar Abbas,South,False,False,True,False
SKU-0025,WH-05,2026-08-25,84,36.0,2026-08-09,32.0,2026-08-26,Central DC,Tehran,Central,False,False,False,False
SKU-0030,WH-01,2026-08-25,56,21.0,2026-08-16,59.0,2026-08-14,North DC,Tabriz,Northwest,False,False,True,False
SKU-0008,WH-07,2026-08-25,64,36.0,2026-09-01,0.0,,Metro DC,Isfahan,Central,False,False,False,False
SKU-0016,WH-08,2026-08-25,244,30.0,2026-08-27,89.0,2026-08-14,Border Hub,Zahedan,Southeast,False,True,False,False
SKU-0045,WH-06,2026-08-25,131,19.0,2026-08-10,0.0,,Coastal Hub,Bandar Abbas,South,False,True,False,False
SKU-0019,WH-06,2026-08-25,68,0.0,,0.0,,Coastal Hub,Bandar Abbas,South,False,False,False,True
SKU-0031,WH-06,2026-08-25,111,51.0,2026-08-23,132.0,2026-08-30,Coastal Hub,Bandar Abbas,South,False,False,True,False
SKU-0035,WH-03,2026-08-25,70,40.0,2026-08-26,0.0,,East Hub,Mashhad,Northeast,False,False,False,False
SKU-0010,WH-06,2026-08-25,120,0.0,,0.0,,Coastal Hub,Bandar Abbas,South,False,False,False,True
SKU-0004,WH-01,2026-08-25,89,46.0,2026-08-12,0.0,,North DC,Tabriz,Northwest,False,False,False,False
SKU-0005,WH-03,2026-09-01,44,17.0,2026-08-05,52.0,2026-08-17,East Hub,Mashhad,Northeast,False,False,True,False
SKU-0036,WH-05,2026-09-01,107,47.0,2026-08-25,43.0,2026-08-05,Central DC,Tehran,Central,False,False,False,False
SKU-0010,WH-03,2026-09-01,208,14.0,2026-08-22,0.0,,East Hub,Mashhad,Northeast,False,True,False,False
SKU-0043,WH-08,2026-09-01,78,68.0,2026-08-26,0.0,,Border Hub,Zahedan,Southeast,False,False,False,False
SKU-0038,WH-03,2026-09-01,132,39.0,2026-08-31,0.0,,East Hub,Mashhad,Northeast,False,False,False,False
SKU-0005,WH-02,2026-09-01,188,0.0,,60.0,2026-08-03,South DC,Shiraz,South,False,False,False,True
SKU-0044,WH-02,2026-09-01,11,19.0,2026-08-21,38.0,2026-08-14,South DC,Shiraz,South,False,False,True,False
SKU-0035,WH-02,2026-09-01,271,97.0,2026-08-24,45.0,2026-08-06,South DC,Shiraz,South,False,False,False,False
SKU-0039,WH-01,2026-09-01,106,0.0,,57.0,2026-08-24,North DC,Tabriz,Northwest,False,False,False,True
SKU-0013,WH-05,2026-09-01,224,18.0,2026-08-15,0.0,,Central DC,Tehran,Central,False,True,False,False
SKU-0029,WH-03,2026-09-01,80,46.0,2026-08-31,0.0,,East Hub,Mashhad,Northeast,False,False,False,False
SKU-0029,WH-08,2026-09-01,81,0.0,,0.0,,Border Hub,Zahedan,Southeast,False,False,False,True
SKU-0030,WH-06,2026-09-01,68,59.0,2026-08-23,92.0,2026-08-14,Coastal Hub,Bandar Abbas,South,False,False,True,False
SKU-0011,WH-01,2026-09-01,167,32.0,2026-08-16,42.0,2026-08-19,North DC,Tabriz,Northwest,False,True,False,False
SKU-0013,WH-02,2026-09-01,34,48.0,2026-08-26,47.0,2026-08-05,South DC,Shiraz,South,False,False,True,False
SKU-0018,WH-06,2026-09-01,65,23.0,2026-08-30,0.0,,Coastal Hub,Bandar Abbas,South,False,False,False,False
SKU-0031,WH-04,2026-09-01,80,0.0,,40.0,2026-08-08,West Hub,Ahvaz,Southwest,False,False,False,True
SKU-0015,WH-01,2026-09-01,125,19.0,2026-08-27,0.0,,North DC,Tabriz,Northwest,False,True,False,False
SKU-0040,WH-02,2026-09-01,183,21.0,2026-08-25,0.0,,South DC,Shiraz,South,False,True,False,False
SKU-0001,WH-02,2026-09-01,170,28.0,2026-08-02,0.0,,South DC,Shiraz,South,False,True,False,False
SKU-0033,WH-02,2026-09-01,70,19.0,2026-08-09,42.0,2026-08-30,South DC,Shiraz,South,False,False,False,False
SKU-0012,WH-08,2026-09-01,160,20.0,2026-08-31,0.0,,Border Hub,Zahedan,Southeast,False,True,False,False
SKU-0017,WH-01,2026-09-01,54,0.0,,0.0,,North DC,Tabriz,Northwest,False,False,False,True
SKU-0025,WH-06,2026-09-01,142,0.0,,72.0,2026-08-12,Coastal Hub,Bandar Abbas,South,False,False,False,True
SKU-0015,WH-03,2026-09-01,198,85.0,2026-08-27,42.0,2026-08-17,East Hub,Mashhad,Northeast,False,False,False,False
SKU-0036,WH-07,2026-09-01,74,44.0,2026-09-01,0.0,,Metro DC,Isfahan,Central,False,False,False,False
SKU-0002,WH-03,2026-09-01,50,83.0,2026-08-30,0.0,,East Hub,Mashhad,Northeast,False,False,False,False
SKU-0039,WH-08,2026-09-01,178,15.0,2026-08-17,0.0,,Border Hub,Zahedan,Southeast,False,True,False,False
SKU-0030,WH-03,2026-09-01,77,0.0,,46.0,2026-08-19,East Hub,Mashhad,Northeast,False,False,False,True
SKU-0003,WH-02,2026-09-01,99,43.0,2026-08-09,51.0,2026-08-19,South DC,Shiraz,South,False,False,False,False
SKU-0016,WH-06,2026-09-01,148,31.0,2026-08-24,0.0,,Coastal Hub,Bandar Abbas,South,False,True,False,False
SKU-0021,WH-04,2026-09-01,61,48.0,2026-08-23,0.0,,West Hub,Ahvaz,Southwest,False,False,False,False
SKU-0026,WH-08,2026-09-01,135,14.0,2026-08-24,0.0,,Border Hub,Zahedan,Southeast,False,True,False,False
SKU-0027,WH-05,2026-09-01,85,22.0,2026-09-01,0.0,,Central DC,Tehran,Central,False,False,False,False
SKU-0005,WH-06,2026-09-01,96,33.0,2026-08-29,0.0,,Coastal Hub,Bandar Abbas,South,False,False,False,False
SKU-0025,WH-08,2026-09-01,206,76.0,2026-08-30,0.0,,Border Hub,Zahedan,Southeast,False,False,False,False
SKU-0026,WH-06,2026-09-01,110,0.0,,0.0,,Coastal Hub,Bandar Abbas,South,False,False,False,True
SKU-0005,WH-07,2026-09-01,110,0.0,,0.0,,Metro DC,Isfahan,Central,False,False,False,True
SKU-0008,WH-02,2026-09-01,20,0.0,,0.0,,South DC,Shiraz,South,False,False,False,True
SKU-0012,WH-01,2026-09-01,116,13.0,2026-08-30,34.0,2026-08-14,North DC,Tabriz,Northwest,False,True,False,False
SKU-0035,WH-05,2026-09-01,152,13.0,2026-08-14,0.0,,Central DC,Tehran,Central,False,True,False,False
SKU-0038,WH-08,2026-09-01,242,35.0,2026-08-23,0.0,,Border Hub,Zahedan,Southeast,False,True,False,False
SKU-0020,WH-08,2026-09-01,79,39.0,2026-08-27,0.0,,Border Hub,Zahedan,Southeast,False,False,False,False
SKU-0044,WH-05,2026-09-01,113,21.0,2026-08-23,0.0,,Central DC,Tehran,Central,False,True,False,False
SKU-0018,WH-03,2026-09-01,141,40.0,2026-08-29,93.0,2026-08-24,East Hub,Mashhad,Northeast,False,False,False,False
SKU-0007,WH-04,2026-09-01,205,0.0,,0.0,,West Hub,Ahvaz,Southwest,False,False,False,True
SKU-0024,WH-07,2026-09-01,65,14.0,2026-08-21,0.0,,Metro DC,Isfahan,Central,False,True,False,False
SKU-0012,WH-07,2026-09-01,89,19.0,2026-08-12,0.0,,Metro DC,Isfahan,Central,False,True,False,False
SKU-0044,WH-07,2026-09-01,106,0.0,,0.0,,Metro DC,Isfahan,Central,False,False,False,True
SKU-0029,WH-02,2026-09-01,156,19.0,2026-08-28,0.0,,South DC,Shiraz,South,False,True,False,False
SKU-0004,WH-08,2026-09-01,71,45.0,2026-08-18,98.0,2026-08-19,Border Hub,Zahedan,Southeast,False,False,True,False
SKU-0016,WH-01,2026-09-01,184,13.0,2026-08-03,98.0,2026-08-12,North DC,Tabriz,Northwest,False,True,False,False
SKU-0037,WH-04,2026-09-01,198,39.0,2026-08-30,0.0,,West Hub,Ahvaz,Southwest,False,True,False,False
SKU-0011,WH-07,2026-09-01,44,61.0,2026-08-17,53.0,2026-08-11,Metro DC,Isfahan,Central,False,False,True,False
SKU-0002,WH-06,2026-09-01,64,32.0,2026-08-29,56.0,2026-08-23,Coastal Hub,Bandar Abbas,South,False,False,False,False
SKU-0001,WH-06,2026-09-01,15,26.0,2026-08-17,0.0,,Coastal Hub,Bandar Abbas,South,False,False,False,False
SKU-0031,WH-08,2026-09-01,151,0.0,,0.0,,Border Hub,Zahedan,Southeast,False,False,False,True
SKU-0043,WH-02,2026-09-01,105,34.0,2026-08-25,36.0,2026-08-24,South DC,Shiraz,South,False,False,False,False
SKU-0035,WH-07,2026-09-01,148,21.0,2026-08-10,0.0,,Metro DC,Isfahan,Central,False,True,False,False
SKU-0025,WH-04,2026-09-01,249,39.0,2026-08-05,0.0,,West Hub,Ahvaz,Southwest,False,True,False,False
SKU-0025,WH-02,2026-09-01,128,105.0,2026-08-27,50.0,2026-08-28,South DC,Shiraz,South,False,False,False,False
SKU-0037,WH-05,2026-09-01,112,18.0,2026-08-30,39.0,2026-08-24,Central DC,Tehran,Central,False,True,False,False
SKU-0022,WH-01,2026-09-01,163,71.0,2026-08-25,51.0,2026-08-14,North DC,Tabriz,Northwest,False,False,False,False
SKU-0006,WH-07,2026-09-01,239,11.0,2026-08-10,0.0,,Metro DC,Isfahan,Central,False,True,False,False
SKU-0001,WH-07,2026-09-01,199,0.0,,52.0,2026-08-15,Metro DC,Isfahan,Central,False,False,False,True
SKU-0034,WH-04,2026-09-01,186,22.0,2026-08-22,0.0,,West Hub,Ahvaz,Southwest,False,True,False,False
SKU-0040,WH-04,2026-09-01,144,0.0,,0.0,,West Hub,Ahvaz,Southwest,False,False,False,True
SKU-0023,WH-02,2026-09-01,97,59.0,2026-08-30,0.0,,South DC,Shiraz,South,False,False,False,False
SKU-0010,WH-02,2026-09-01,185,19.0,2026-08-28,81.0,2026-08-24,South DC,Shiraz,South,False,True,False,False
SKU-0017,WH-04,2026-09-01,139,39.0,2026-08-13,0.0,,West Hub,Ahvaz,Southwest,False,False,False,False
SKU-0002,WH-02,2026-09-01,24,39.0,2026-09-01,0.0,,South DC,Shiraz,South,False,False,False,False
SKU-0028,WH-06,2026-09-01,254,14.0,2026-08-12,36.0,2026-08-20,Coastal Hub,Bandar Abbas,South,False,True,False,False
SKU-0016,WH-03,2026-09-01,102,15.0,2026-09-01,51.0,2026-08-26,East Hub,Mashhad,Northeast,False,True,False,False
SKU-0041,WH-06,2026-09-01,112,57.0,2026-08-30,0.0,,Coastal Hub,Bandar Abbas,South,False,False,False,False
SKU-0004,WH-05,2026-09-01,149,0.0,,0.0,,Central DC,Tehran,Central,False,False,False,True
SKU-0041,WH-03,2026-09-01,109,25.0,2026-08-18,56.0,2026-08-15,East Hub,Mashhad,Northeast,False,True,False,False
SKU-0042,WH-05,2026-09-01,151,18.0,2026-08-11,0.0,,Central DC,Tehran,Central,False,True,False,False
SKU-0003,WH-03,2026-09-01,73,34.0,2026-08-24,0.0,,East Hub,Mashhad,Northeast,False,False,False,False
SKU-0037,WH-07,2026-09-01,103,42.0,2026-08-25,125.0,2026-08-25,Metro DC,Isfahan,Central,False,False,True,False
SKU-0019,WH-02,2026-09-01,252,59.0,2026-08-18,59.0,2026-08-29,South DC,Shiraz,South,False,True,False,False
SKU-0033,WH-06,2026-09-01,118,45.0,2026-08-18,0.0,,Coastal Hub,Bandar Abbas,South,False,False,False,False
SKU-0034,WH-02,2026-09-01,71,20.0,2026-08-04,0.0,,South DC,Shiraz,South,False,False,False,False
SKU-0002,WH-04,2026-09-01,59,65.0,2026-08-25,97.0,2026-09-01,West Hub,Ahvaz,Southwest,False,False,True,False
SKU-0041,WH-04,2026-09-01,278,44.0,2026-08-29,0.0,,West Hub,Ahvaz,Southwest,False,True,False,False
SKU-0019,WH-07,2026-09-01,95,38.0,2026-08-22,0.0,,Metro DC,Isfahan,Central,False,False,False,False
SKU-0003,WH-08,2026-09-01,139,33.0,2026-08-26,0.0,,Border Hub,Zahedan,Southeast,False,True,False,False
SKU-0021,WH-03,2026-09-01,63,45.0,2026-08-16,0.0,,East Hub,Mashhad,Northeast,False,False,False,False
SKU-0014,WH-02,2026-09-01,153,38.0,2026-08-22,0.0,,South DC,Shiraz,South,False,True,False,False
SKU-0015,WH-08,2026-09-01,3,47.0,2026-08-07,0.0,,Border Hub,Zahedan,Southeast,False,False,False,False
SKU-0023,WH-08,2026-09-01,124,40.0,2026-08-18,49.0,2026-08-10,Border Hub,Zahedan,Southeast,False,False,False,False
SKU-0026,WH-05,2026-09-01,113,0.0,,0.0,,Central DC,Tehran,Central,False,False,False,True
SKU-0026,WH-07,2026-09-01,118,39.0,2026-08-29,67.0,2026-08-05,Metro DC,Isfahan,Central,False,False,False,False
SKU-0017,WH-06,2026-09-01,123,35.0,2026-08-28,0.0,,Coastal Hub,Bandar Abbas,South,False,False,False,False
SKU-0037,WH-03,2026-09-01,180,59.0,2026-09-01,0.0,,East Hub,Mashhad,Northeast,False,False,False,False
SKU-0036,WH-08,2026-09-01,57,34.0,2026-08-05,0.0,,Border Hub,Zahedan,Southeast,False,False,False,False
SKU-0002,WH-01,2026-09-01,55,67.0,2026-08-28,53.0,2026-08-23,North DC,Tabriz,Northwest,False,False,False,False
SKU-0021,WH-08,2026-09-01,89,18.0,2026-08-24,0.0,,Border Hub,Zahedan,Southeast,False,True,False,False
SKU-0026,WH-04,2026-09-01,80,12.0,2026-08-18,0.0,,West Hub,Ahvaz,Southwest,False,True,False,False
SKU-0011,WH-02,2026-09-01,107,23.0,2026-08-18,0.0,,South DC,Shiraz,South,False,True,False,False
SKU-0002,WH-08,2026-09-01,174,17.0,2026-08-08,0.0,,Border Hub,Zahedan,Southeast,False,True,False,False
SKU-0003,WH-05,2026-09-01,164,90.0,2026-09-01,0.0,,Central DC,Tehran,Central,False,False,False,False
SKU-0034,WH-05,2026-09-01,31,0.0,,0.0,,Central DC,Tehran,Central,False,False,False,True
SKU-0006,WH-08,2026-09-01,131,57.0,2026-08-27,51.0,2026-08-28,Border Hub,Zahedan,Southeast,False,False,False,False
SKU-0012,WH-02,2026-09-01,74,33.0,2026-08-18,41.0,2026-08-23,South DC,Shiraz,South,False,False,False,False
SKU-0035,WH-06,2026-09-01,153,57.0,2026-08-24,60.0,2026-08-21,Coastal Hub,Bandar Abbas,South,False,False,False,False
SKU-0015,WH-04,2026-09-01,124,36.0,2026-08-30,0.0,,West Hub,Ahvaz,Southwest,False,False,False,False
SKU-0008,WH-08,2026-09-01,95,16.0,2026-08-11,0.0,,Border Hub,Zahedan,Southeast,False,True,False,False
SKU-0007,WH-07,2026-09-01,0,20.0,2026-08-14,41.0,2026-08-22,Metro DC,Isfahan,Central,True,False,True,False
SKU-0029,WH-01,2026-09-01,114,8.0,2026-08-17,0.0,,North DC,Tabriz,Northwest,False,True,False,False
SKU-0013,WH-04,2026-09-01,249,22.0,2026-08-06,0.0,,West Hub,Ahvaz,Southwest,False,True,False,False
SKU-0026,WH-01,2026-09-01,100,22.0,2026-08-30,0.0,,North DC,Tabriz,Northwest,False,True,False,False
SKU-0030,WH-05,2026-09-01,47,20.0,2026-08-24,0.0,,Central DC,Tehran,Central,False,False,False,False
SKU-0039,WH-03,2026-09-01,118,16.0,2026-08-06,58.0,2026-08-24,East Hub,Mashhad,Northeast,False,True,False,False
SKU-0032,WH-04,2026-09-01,146,27.0,2026-08-21,32.0,2026-08-11,West Hub,Ahvaz,Southwest,False,True,False,False
SKU-0005,WH-05,2026-09-01,64,15.0,2026-08-02,0.0,,Central DC,Tehran,Central,False,True,False,False
SKU-0008,WH-06,2026-09-01,115,27.0,2026-08-19,89.0,2026-08-31,Coastal Hub,Bandar Abbas,South,False,True,False,False
SKU-0014,WH-04,2026-09-01,101,19.0,2026-08-04,50.0,2026-08-14,West Hub,Ahvaz,Southwest,False,True,False,False
SKU-0038,WH-07,2026-09-01,89,0.0,,46.0,2026-08-03,Metro DC,Isfahan,Central,False,False,False,True
SKU-0017,WH-03,2026-09-01,133,14.0,2026-08-23,0.0,,East Hub,Mashhad,Northeast,False,True,False,False
SKU-0044,WH-03,2026-09-01,266,19.0,2026-08-06,0.0,,East Hub,Mashhad,Northeast,False,True,False,False
SKU-0038,WH-02,2026-09-01,73,28.0,2026-08-26,0.0,,South DC,Shiraz,South,False,False,False,False
SKU-0005,WH-01,2026-09-01,131,58.0,2026-08-21,0.0,,North DC,Tabriz,Northwest,False,False,False,False
SKU-0007,WH-03,2026-09-01,141,72.0,2026-08-27,0.0,,East Hub,Mashhad,Northeast,False,False,False,False
SKU-0041,WH-05,2026-09-01,178,20.0,2026-08-17,0.0,,Central DC,Tehran,Central,False,True,False,False
SKU-0016,WH-02,2026-09-01,175,59.0,2026-08-29,0.0,,South DC,Shiraz,South,False,False,False,False
SKU-0024,WH-06,2026-09-01,142,82.0,2026-08-23,0.0,,Coastal Hub,Bandar Abbas,South,False,False,False,False
SKU-0033,WH-01,2026-09-01,82,20.0,2026-08-25,0.0,,North DC,Tabriz,Northwest,False,True,False,False
SKU-0026,WH-03,2026-09-01,100,45.0,2026-08-17,0.0,,East Hub,Mashhad,Northeast,False,False,False,False
SKU-0020,WH-07,2026-09-01,207,20.0,2026-08-05,0.0,,Metro DC,Isfahan,Central,False,True,False,False
SKU-0025,WH-03,2026-09-01,222,0.0,,0.0,,East Hub,Mashhad,Northeast,False,False,False,True
SKU-0012,WH-04,2026-09-01,129,16.0,2026-08-20,42.0,2026-08-20,West Hub,Ahvaz,Southwest,False,True,False,False
SKU-0045,WH-08,2026-09-01,31,12.0,2026-08-08,0.0,,Border Hub,Zahedan,Southeast,False,False,False,False
SKU-0022,WH-06,2026-09-01,147,61.0,2026-08-28,80.0,2026-08-26,Coastal Hub,Bandar Abbas,South,False,False,False,False
SKU-0004,WH-03,2026-09-01,165,0.0,,0.0,,East Hub,Mashhad,Northeast,False,False,False,True
SKU-0019,WH-04,2026-09-01,70,70.0,2026-08-24,0.0,,West Hub,Ahvaz,Southwest,False,False,False,False
SKU-0004,WH-04,2026-09-01,126,35.0,2026-08-16,0.0,,West Hub,Ahvaz,Southwest,False,False,False,False
SKU-0040,WH-05,2026-09-01,40,12.0,2026-08-19,0.0,,Central DC,Tehran,Central,False,False,False,False
SKU-0032,WH-07,2026-09-01,186,15.0,2026-08-30,0.0,,Metro DC,Isfahan,Central,False,True,False,False
SKU-0035,WH-01,2026-09-01,74,20.0,2026-08-05,46.0,2026-08-03,North DC,Tabriz,Northwest,False,False,False,False
SKU-0034,WH-03,2026-09-01,157,43.0,2026-08-25,0.0,,East Hub,Mashhad,Northeast,False,False,False,False
SKU-0031,WH-01,2026-09-01,151,21.0,2026-08-22,42.0,2026-08-23,North DC,Tabriz,Northwest,False,True,False,False
SKU-0009,WH-06,2026-09-01,6,36.0,2026-08-27,100.0,2026-08-30,Coastal Hub,Bandar Abbas,South,False,False,True,False
SKU-0006,WH-01,2026-09-01,122,70.0,2026-08-26,34.0,2026-08-21,North DC,Tabriz,Northwest,False,False,False,False
SKU-0039,WH-05,2026-09-01,97,19.0,2026-08-21,0.0,,Central DC,Tehran,Central,False,True,False,False
SKU-0031,WH-05,2026-09-01,179,21.0,2026-08-26,70.0,2026-08-17,Central DC,Tehran,Central,False,True,False,False
SKU-0010,WH-07,2026-09-01,189,0.0,,0.0,,Metro DC,Isfahan,Central,False,False,False,True
SKU-0007,WH-06,2026-09-01,198,95.0,2026-08-30,0.0,,Coastal Hub,Bandar Abbas,South,False,False,False,False
SKU-0030,WH-08,2026-09-01,84,0.0,,40.0,2026-08-09,Border Hub,Zahedan,Southeast,False,False,False,True
SKU-0034,WH-06,2026-09-01,131,18.0,2026-08-10,41.0,2026-08-13,Coastal Hub,Bandar Abbas,South,False,True,False,False
